# 2026-03-06 09:37:33 CST
# Linux 6.17.0-14-generic x86_64
# go1.25.7
# CPU: Intel(R) Xeon(R) E-2186G CPU @ 3.80GHz

goos: linux
goarch: amd64
pkg: github.com/uniyakcom/yakutil
cpu: Intel(R) Xeon(R) E-2186G CPU @ 3.80GHz

BenchmarkErrStr_Error-12         	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkErrStr_Error-12         	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkErrStr_Error-12         	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkFmtErrorf-12            	40264962	        79.20 ns/op	      40 B/op	       2 allocs/op
BenchmarkFmtErrorf-12            	36702505	        87.67 ns/op	      40 B/op	       2 allocs/op
BenchmarkFmtErrorf-12            	39724824	        91.90 ns/op	      40 B/op	       2 allocs/op
BenchmarkB2S_vs_StringCast/B2S-12         	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkB2S_vs_StringCast/B2S-12         	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkB2S_vs_StringCast/B2S-12         	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkB2S_vs_StringCast/string()-12    	176943332	        19.66 ns/op	      32 B/op	       1 allocs/op
BenchmarkB2S_vs_StringCast/string()-12    	175438736	        19.99 ns/op	      32 B/op	       1 allocs/op
BenchmarkB2S_vs_StringCast/string()-12    	177445363	        19.59 ns/op	      32 B/op	       1 allocs/op
BenchmarkPow2Ceil_Large-12                	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkPow2Ceil_Large-12                	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkPow2Ceil_Large-12                	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkB2S-12                           	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkB2S-12                           	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkB2S-12                           	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkS2B-12                           	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkS2B-12                           	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkS2B-12                           	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsPow2-12                        	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsPow2-12                        	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsPow2-12                        	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkPow2Ceil-12                      	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
BenchmarkPow2Ceil-12                      	1000000000	         3.000 ns/op	       0 B/op	       0 allocs/op
